"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","OriginalValue","OriginalRegistryValue","TargetValue","FinalValue","FinalRegistryValue","ApplyAttempted","ApplySucceeded","VerificationSucceeded","ExecutionMode","TargetValueType","RestartAttempted","RestartSucceeded","Notes","PSComputerName","RunspaceId","PSShowComputerName"
"ADMIN","192.168.22.221","Wi-Fi","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","4. 802.11ax","3","5. 802.11be","5. 802.11be","4","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.221","4679f999-cafa-4b4d-bea5-f0c1f30caea0","True"
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","4. 802.11ax","3","5. 802.11be","5. 802.11be","4","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.222","0daa2a8b-29d4-4851-99bb-e52b505d3381","True"
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","4. 802.11ax","3","5. 802.11be","5. 802.11be","4","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.223","38345f6a-8c8e-4164-8309-fd370d33534f","True"
"ADMIN","192.168.22.224","Wi-Fi 6","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","4. 802.11ax","3","5. 802.11be","5. 802.11be","4","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.224","6b016a59-9414-412c-b6b4-b84ad9de1241","True"
"ADMIN","192.168.22.225","Wi-Fi 6","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","4. 802.11ax","3","5. 802.11be","5. 802.11be","4","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.225","d43ed872-a543-45b8-a8a1-29c92ae134c7","True"
"ADMIN","192.168.22.228","Wi-Fi 6","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","4. 802.11ax","3","5. 802.11be","5. 802.11be","4","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.228","f850a267-1901-4d33-8fa3-15a2fa790579","True"
