"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","OriginalValue","OriginalRegistryValue","TargetValue","FinalValue","FinalRegistryValue","ApplyAttempted","ApplySucceeded","VerificationSucceeded","ExecutionMode","TargetValueType","RestartAttempted","RestartSucceeded","Notes","PSComputerName","RunspaceId","PSShowComputerName"
"ADMIN","192.168.22.221","Wi-Fi","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.221","9bd88120-5106-43d5-815d-cabbc7196a37","True"
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.222","0dd3cd13-6e02-4ce2-9893-cc92696a6b47","True"
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.223","cd4eaa8a-e480-4403-bd77-f187658fe788","True"
"ADMIN","192.168.22.224","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.224","f2fca1d9-40d2-424f-bb62-14c20ed7ce8d","True"
"ADMIN","192.168.22.225","Intel(R) Wi-Fi 7 BE200 320MHz #6","Ultra High Band (6GHz)","Is6GhzBandSupported",,,"Enabled",,,"True","False","False","RestartBE200","DisplayValue","False",,"Multiple adapters matched allowlisted InterfaceDescription 'Intel(R) Wi-Fi 7 BE200 320MHz #6' with Status 'Disconnected'. Skipping to avoid ambiguity.","192.168.22.225","0b591944-4ec9-47a7-a6c0-e88a1bc5ccbf","True"
"ADMIN","192.168.22.226","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.226","59ba9613-fd7b-4619-a0f3-09a36234fedf","True"
"ADMIN","192.168.22.227","Intel(R) Wi-Fi 7 BE200 320MHz #6","Ultra High Band (6GHz)","Is6GhzBandSupported",,,"Enabled",,,"True","False","False","RestartBE200","DisplayValue","False",,"Multiple adapters matched allowlisted InterfaceDescription 'Intel(R) Wi-Fi 7 BE200 320MHz #6' with Status 'Disconnected'. Skipping to avoid ambiguity.","192.168.22.227","76ca6c0a-1eff-4cc9-98b3-85f32d285b9c","True"
"ADMIN","192.168.22.228","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.228","aed05ef2-acb7-4691-9545-1804fc9c1a4d","True"
