"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","OriginalValue","OriginalRegistryValue","TargetValue","FinalValue","FinalRegistryValue","ApplyAttempted","ApplySucceeded","VerificationSucceeded","ExecutionMode","TargetValueType","RestartAttempted","RestartSucceeded","Notes","PSComputerName","RunspaceId","PSShowComputerName"
"ADMIN","192.168.22.221","Wi-Fi","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.221","6a14c890-1ffa-4954-905b-94e828a1470a","True"
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.222","a4d2a089-eb01-47ad-9cea-783b22e6103f","True"
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.223","cbca97b4-2dc3-4f9e-add3-85bc65727643","True"
"ADMIN","192.168.22.224","Wi-Fi 6","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.224","13a3075c-a9d2-427d-b0c7-17bc2ffe2bfd","True"
"ADMIN","192.168.22.225","Wi-Fi 6","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.225","da69e4e8-8fdf-43a9-8d41-2138bededbab","True"
"ADMIN","192.168.22.226","Wi-Fi 6","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.226","b72d4a1b-65e1-45c8-be94-a9ae0d880621","True"
"ADMIN","192.168.22.227","Wi-Fi 6","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.227","53b2982e-a870-4f0a-902c-09f77cb81ccf","True"
"ADMIN","192.168.22.228","Wi-Fi 6","Wake on Magic Packet","*WakeOnMagicPacket","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.228","7588a252-f880-4c14-8255-5f75806b27f8","True"
