"AdapterName","Action","Success","State","SSID","RequestedSSID","RadioType","Signal","Authentication","Channel","Message","PSComputerName","RunspaceId","PSShowComputerName","TargetIP"
"Wi-Fi","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","99%","Open","10","Connected to 'WBE700v2-2G'. Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (8). Connection request was completed successfully.","192.168.22.221","7ec7fe62-df78-431a-9908-339fd3fa4fa0","True","192.168.22.221"
"Wi-Fi 6","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","89%","Open","10","Connected to 'WBE700v2-2G'. Connection request was completed successfully.","192.168.22.222","06a655da-620c-4a7c-9b4d-bdf62d8d375c","True","192.168.22.222"
"Wi-Fi","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","87%","Open","10","Connected to 'WBE700v2-2G'. Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (5). Connection request was completed successfully.","192.168.22.223","42b1714f-fd09-4deb-821e-1b1cd4b93a23","True","192.168.22.223"
"Wi-Fi 6","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","84%","Open","10","Connected to 'WBE700v2-2G'. Connection request was completed successfully.","192.168.22.224","bc27f34b-badd-4674-bb0d-5d97bf8d4893","True","192.168.22.224"
"Wi-Fi 6","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","72%","Open","10","Connected to 'WBE700v2-2G'. Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (11). Connection request was completed successfully.","192.168.22.225","7e62bb77-ba1b-4fe7-a96b-7361c284a153","True","192.168.22.225"
"Wi-Fi 6","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","60%","Open","10","Connected to 'WBE700v2-2G'. Connection request was completed successfully.","192.168.22.226","cbadc0a1-9595-4888-bdd0-c45e1edaf52f","True","192.168.22.226"
"Wi-Fi 6","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","60%","Open","10","Connected to 'WBE700v2-2G'. Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (7). Connection request was completed successfully.","192.168.22.227","8c737478-9d6e-451d-9c3e-23a233207541","True","192.168.22.227"
"Wi-Fi 6","Connect","True","connected","WBE700v2-2G","WBE700v2-2G","802.11be","40%","Open","10","Connected to 'WBE700v2-2G'. Connection request was completed successfully.","192.168.22.228","a3c81227-5633-4575-ab83-43d7a7465ba5","True","192.168.22.228"
