"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","RollbackDisplayValue","RollbackRegistryValue","Notes"
"ADMIN","192.168.22.221","Wi-Fi","Packet Coalescing","*PacketCoalescing","Disabled","0","Rollback data only. No automatic rollback is performed by this toolkit."
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","Packet Coalescing","*PacketCoalescing","Disabled","0","Rollback data only. No automatic rollback is performed by this toolkit."
