PropertyDisplayName,RegistryKeyword,TargetPresencePattern,CommonAcrossTargets,VariantAcrossTargets,DiscoveredValues,CurrentValuesAcrossTargets,ProposedRiskClass,ProposedTestMode,ModesAttempted,TargetsUsedForTesting,HighestAcceptedRolloutScope,ReadBackResult,RollbackResult,AcceptanceStatus,ExactReason,Notes,ApplyAllowed,AcceptedModes,OperatorVisible,Coverage,PresentTargets,MissingTargets,InterfaceDescriptions,CurrentValuesSeen,PossibleDisplayValues,Rationale
802.11a/b/g Wireless Mode,WirelessMode,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g,4. 2.4GHz 802.11b/g,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. 2.4GHz 802.11b/g,1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g,
NS offload for WoWLAN,*PMNSOffload,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Enabled,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
Packet Coalescing,*PacketCoalescing,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Enabled,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
Preferred Band,RoamingPreferredBandType,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band,4. Prefer 6GHz band,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,Validated rollout path with successful GUI-driven write and restart verification.,Validated rollout path with successful GUI-driven write and restart verification.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. Prefer 6GHz band,1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band,
Roaming Aggressiveness,RoamAggressiveness,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,3. Medium,low,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,Low-risk roaming preference with successful staged GUI apply and rollback.,Low-risk roaming preference with successful staged GUI apply and rollback.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,3. Medium,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,
RSCv4,*RscIPv4,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Enabled,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
RSCv6,*RscIPv6,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Enabled,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
Sleep on WoWLAN Disconnect,*DeviceSleepOnDisconnect,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Disabled,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
Throughput Booster,ThroughputBoosterEnabled,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Disabled,low,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,Low-risk throughput optimization toggle accepted after staged live testing and rollback.,Low-risk throughput optimization toggle accepted after staged live testing and rollback.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
Transmit Power,IbssTxPower,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,5. Highest,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,5. Highest,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,
U-APSD support,uAPSDSupport,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Disabled,low,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,Low-risk power-save toggle with successful staged GUI apply and rollback.,Low-risk power-save toggle with successful staged GUI apply and rollback.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
