"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","OriginalValue","OriginalRegistryValue","TargetValue","FinalValue","FinalRegistryValue","ApplyAttempted","ApplySucceeded","VerificationSucceeded","ExecutionMode","TargetValueType","RestartAttempted","RestartSucceeded","Notes","PSComputerName","RunspaceId","PSShowComputerName"
"ADMIN","192.168.22.221","Wi-Fi","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.221","9cde9e94-1db0-44f9-a4bb-717499357d6e","True"
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.222","33214d11-db77-4ae5-827e-1d2124a204b3","True"
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.223","dbbddc96-a888-46ae-a61a-fea596350dcd","True"
"ADMIN","192.168.22.224","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.224","c3a869fb-d15f-48b9-a880-24f9b929517a","True"
"ADMIN","192.168.22.225","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.225","72dbe0a3-bcce-4295-a4c0-a76d75701542","True"
"ADMIN","192.168.22.226","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.226","2a8ec567-ba7c-4dc5-a356-23af1852e272","True"
"ADMIN","192.168.22.227","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.227","b513982a-bd24-4c44-9f0e-137f1f31e545","True"
"ADMIN","192.168.22.228","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.228","121c3acf-1bb3-4896-aeca-27ca386435f7","True"
