"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","OriginalValue","OriginalRegistryValue","TargetValue","FinalValue","FinalRegistryValue","ApplyAttempted","ApplySucceeded","VerificationSucceeded","ExecutionMode","TargetValueType","RestartAttempted","RestartSucceeded","Notes","PSComputerName","RunspaceId","PSShowComputerName"
"ADMIN","192.168.22.221","Wi-Fi","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.221","088ed52e-091f-4646-b198-2d1a81971f12","True"
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.222","78a9b6d9-e908-4b09-afd9-a93280be84f9","True"
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.223","84be478b-6c80-4c69-bebe-e2d065e52798","True"
"ADMIN","192.168.22.224","Wi-Fi 6","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.224","2dd453d2-2133-426f-979b-27aa0efae1c8","True"
"ADMIN","192.168.22.225","Wi-Fi 6","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.225","619d001c-9a72-420e-b5ea-c060195dd713","True"
"ADMIN","192.168.22.226","Wi-Fi 6","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.226","7c856bd6-5844-4ef9-86f4-1d993166327b","True"
"ADMIN","192.168.22.227","Wi-Fi 6","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.227","25a9fd78-b295-4522-8ff7-78b6ddb8d652","True"
"ADMIN","192.168.22.228","Wi-Fi 6","RSCv6","*RscIPv6","Disabled","0","Enabled","Enabled","1","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.228","f2e00e56-c4db-4a8b-bc15-c8398d37edd4","True"
