"AdapterName","Action","Success","State","SSID","RequestedSSID","RadioType","Signal","Authentication","Channel","Message","PSComputerName","RunspaceId","PSShowComputerName","TargetIP"
"Wi-Fi","Status","True","connected","WAX610_5G","","802.11ax","97%","WPA2-Personal","157","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (8).","192.168.22.221","d9b298a1-a472-4c28-b7cf-5f8f9036c343","True","192.168.22.221"
"Wi-Fi 6","Status","True","connected","WAX610_5G","","802.11ax","89%","WPA2-Personal","157","Status retrieved.","192.168.22.222","0b8bdb16-3c40-472b-bae9-2bb2804e984a","True","192.168.22.222"
"Wi-Fi","Status","True","connected","WAX610_5G","","802.11ax","81%","WPA2-Personal","157","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (5).","192.168.22.223","10277781-ba39-4505-80ce-9c10e6ee1576","True","192.168.22.223"
"Wi-Fi 6","Status","True","connected","WAX610_5G","","802.11ax","72%","WPA2-Personal","157","Status retrieved.","192.168.22.224","8d6999bd-9b0b-4639-980b-50b7cec9f2b8","True","192.168.22.224"
"Wi-Fi 6","Status","True","connected","WAX610_5G","","802.11ax","67%","WPA2-Personal","157","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (11).","192.168.22.225","476e0e18-e256-4a9d-bc7a-83fdd2d0cdbc","True","192.168.22.225"
"Wi-Fi 6","Status","True","connected","WAX610_5G","","802.11ax","46%","WPA2-Personal","157","Status retrieved.","192.168.22.226","11b18537-0c31-4a3b-bf6d-825ea3dbc337","True","192.168.22.226"
"Wi-Fi 6","Status","True","connected","WAX610_5G","","802.11ax","33%","WPA2-Personal","157","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (7).","192.168.22.227","ff57560f-1841-4490-9431-b142c6cab096","True","192.168.22.227"
"Wi-Fi 6","Status","True","connected","WAX610_5G","","802.11ax","35%","WPA2-Personal","157","Status retrieved.","192.168.22.228","076488e9-d171-4d6c-b2ac-6b27ea302fbb","True","192.168.22.228"
