"Scope","TargetIP","AdapterMatch","PropertyDisplayName","RegistryKeyword","CurrentValue","TargetValue","Apply","Notes"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Channel Width for 5GHz","ChannelWidth52","Auto","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Channel Width for 6GHz","ChannelWidth6","Auto","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","Characteristics","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","CLSGUID","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ComponentId","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","CtdpSupported","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Mixed Mode Protection","CtsToItself","RTS/CTS Enabled","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: RTS/CTS Enabled; CTS-to-self Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DeviceInstanceID","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DriverDate","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DriverDesc","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DriverVersion","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DrvInitInProg","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DuplicateRateSupported","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Channel-Load usage for AP Selection","EnableChLoad4ApSelection","Enabled","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ExternalImage","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Fat Channel Intolerant","FatChannelIntolerant","Disabled","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","FixedSupportedHtRates","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","FixedSupportedRates","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","GreenFieldCapable","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
