"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","OriginalValue","OriginalRegistryValue","TargetValue","FinalValue","FinalRegistryValue","ApplyAttempted","ApplySucceeded","VerificationSucceeded","ExecutionMode","TargetValueType","RestartAttempted","RestartSucceeded","Notes","PSComputerName","RunspaceId","PSShowComputerName"
"ADMIN","192.168.22.221","Wi-Fi","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.221","284f8c05-3a89-4414-a617-c2674bbd879b","True"
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.222","24b630a9-5e5a-4589-bd0a-837f118a9078","True"
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.223","7d6e4d78-83ab-443f-977f-de6f360e644c","True"
"ADMIN","192.168.22.224","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.224","fefd5598-5e63-433d-92b0-48b84cc633e1","True"
"ADMIN","192.168.22.225","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.225","cf1fa89b-8197-4d2c-beb6-d3f13f8e3dd1","True"
"ADMIN","192.168.22.226","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.226","fd45964f-36c2-44c1-baa8-03c50ab0ca66","True"
"ADMIN","192.168.22.227","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.227","dea81343-bf5e-4595-a962-2ad2c4567c0f","True"
"ADMIN","192.168.22.228","Wi-Fi 6","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.228","87408991-c2d5-4bde-8b5b-3585d624d479","True"
