"AdapterName","Action","Success","State","SSID","RequestedSSID","RadioType","Signal","Authentication","Channel","Message","PSComputerName","RunspaceId","PSShowComputerName","TargetIP"
"Wi-Fi","Status","True","connected","RBE873_perf","","802.11be","97%","WPA3-Personal  (H2E)","","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (8).","192.168.22.221","8f94964d-f7b4-4a3e-82a9-5951f8f61dbd","True","192.168.22.221"
"Wi-Fi 6","Status","True","connected","RBE873_perf","","802.11be","86%","WPA3-Personal  (H2E)","","Status retrieved.","192.168.22.222","b1a1c98d-1f23-4471-acb1-a1178f6fb578","True","192.168.22.222"
"Wi-Fi","Status","True","connected","RBE873_perf","","802.11be","83%","WPA3-Personal  (H2E)","","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (5).","192.168.22.223","28cc7059-daf2-4469-bc12-e05cfc3adfcb","True","192.168.22.223"
"Wi-Fi 6","Status","True","connected","RBE873_perf","","802.11be","70%","WPA3-Personal  (H2E)","","Status retrieved.","192.168.22.224","df7644bf-3be5-48d8-b0c7-d821a7bd9d98","True","192.168.22.224"
"Wi-Fi 6","Status","True","connected","RBE873_perf","","802.11be","62%","WPA3-Personal  (H2E)","","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (11).","192.168.22.225","03c2cf48-453a-47f4-989f-067ebb92e9b2","True","192.168.22.225"
"Wi-Fi 6","Status","True","connected","RBE873_perf","","802.11be","62%","WPA3-Personal  (H2E)","","Status retrieved.","192.168.22.226","91ef0bbf-48d4-452b-82b3-987c5a2d918f","True","192.168.22.226"
"Wi-Fi 6","Status","True","connected","RBE873_perf","","802.11be","65%","WPA3-Personal  (H2E)","","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (7).","192.168.22.227","4f115792-cf51-4934-9e1e-88826ecef0cf","True","192.168.22.227"
"Wi-Fi 6","Status","True","connected","RBE873_perf","","802.11be","38%","WPA3-Personal  (H2E)","","Status retrieved.","192.168.22.228","dcde004d-d1fd-4036-95bd-1b37a3604e02","True","192.168.22.228"
