"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","RollbackDisplayValue","RollbackRegistryValue","Notes"
"ADMIN","192.168.22.221","Wi-Fi","Preferred Band","RoamingPreferredBandType","4. Prefer 6GHz band","3","Rollback data only. No automatic rollback is performed by this toolkit."
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","Preferred Band","RoamingPreferredBandType","4. Prefer 6GHz band","3","Rollback data only. No automatic rollback is performed by this toolkit."
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","Preferred Band","RoamingPreferredBandType","4. Prefer 6GHz band","3","Rollback data only. No automatic rollback is performed by this toolkit."
"ADMIN","192.168.22.224","Wi-Fi 6","Preferred Band","RoamingPreferredBandType","4. Prefer 6GHz band","3","Rollback data only. No automatic rollback is performed by this toolkit."
