"ComputerName","TargetIP","AdapterName","PropertyDisplayName","RegistryKeyword","OriginalValue","OriginalRegistryValue","TargetValue","FinalValue","FinalRegistryValue","ApplyAttempted","ApplySucceeded","VerificationSucceeded","ExecutionMode","TargetValueType","RestartAttempted","RestartSucceeded","Notes","PSComputerName","RunspaceId","PSShowComputerName"
"ADMIN","192.168.22.221","Wi-Fi","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.221","65ef47e0-ac4d-4310-a637-d27eff1da5a0","True"
"DESKTOP-9LSD789","192.168.22.222","Wi-Fi 6","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.222","dc5c4e6f-7d50-4485-b803-9a17970017f2","True"
"DESKTOP-AMUELNP","192.168.22.223","Wi-Fi","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.223","923e9dc8-5a53-46e3-8b0e-87eb5b781291","True"
"ADMIN","192.168.22.224","Wi-Fi 6","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.224","b88deb41-f870-4d79-95a5-4af483963b57","True"
"ADMIN","192.168.22.225","Wi-Fi 6","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.225","525f89f9-333b-456b-96ca-47ab9090739f","True"
"ADMIN","192.168.22.226","Wi-Fi 6","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.226","d79e6b72-0793-4c8b-985f-708b28d391cb","True"
"ADMIN","192.168.22.227","Wi-Fi 6","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.227","5bff242b-dd0e-451b-b784-a0f33d7c433f","True"
"ADMIN","192.168.22.228","Wi-Fi 6","RSCv4","*RscIPv4","Enabled","1","Disabled","Disabled","0","True","True","True","RestartBE200","DisplayValue","True","True","","192.168.22.228","9ddbe213-9478-4421-b44c-3c0727626a23","True"
