"Scope","TargetIP","AdapterMatch","PropertyDisplayName","RegistryKeyword","CurrentValue","TargetValue","Apply","Notes"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","RSCv4","*RscIPv4","Enabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","RSCv6","*RscIPv6","Enabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","*TCPChecksumOffloadIPv4","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","*TCPChecksumOffloadIPv6","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","*UDPChecksumOffloadIPv4","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","*UDPChecksumOffloadIPv6","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","*UsoIPv4","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","*UsoIPv6","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Wake on Magic Packet","*WakeOnMagicPacket","Enabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Wake on Pattern Match","*WakeOnPattern","Enabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","AdapterModel","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","AtomMaxDpcTime","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","BaEnable","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","BusType","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ChannelMaskBand24B","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ChannelMaskBand24G","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ChannelMaskBand52","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ChannelMaskBand52J","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Channel Width for 2.4GHz","ChannelWidth24","Auto","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Channel Width for 5GHz","ChannelWidth52","Auto","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Channel Width for 6GHz","ChannelWidth6","Auto","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 20 MHz Only; Auto PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","Characteristics","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","CLSGUID","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ComponentId","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","CtdpSupported","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Mixed Mode Protection","CtsToItself","RTS/CTS Enabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: RTS/CTS Enabled; CTS-to-self Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DeviceInstanceID","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DriverDate","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DriverDesc","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DriverVersion","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DrvInitInProg","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","DuplicateRateSupported","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Channel-Load usage for AP Selection","EnableChLoad4ApSelection","Enabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ExternalImage","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Fat Channel Intolerant","FatChannelIntolerant","Disabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","FixedSupportedHtRates","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","FixedSupportedRates","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","GreenFieldCapable","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","HardwareVersion","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","HePhyCapabilitiesDword0","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Transmit Power","IbssTxPower","5. Highest","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest PossibleRegistryValues: 0; 25; 50; 75; 100"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","5. 802.11be","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be PossibleRegistryValues: 0; 1; 2; 3; 4"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","IfTypePreStart","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","InfPath","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","InfSection","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","LastIoMapSuccessBarHigh","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","LastIoMapSuccessBarLow","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","LprxEnable","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","MatchingDeviceId","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","MaxDpcTime","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","MIMO Power Save Mode","MIMOPowerSaveMode","Auto SMPS","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Auto SMPS; Static SMPS; Dynamic SMPS; No SMPS PossibleRegistryValues: 0; 1; 2; 3"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ModulationType","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NetCfgInstanceId","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NetLuidIndex","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NetworkInterfaceInstallTimestamp","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NumberOfNetworkInterfaces","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PanEnabled","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PBANumber","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PldrResetCounter","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthReceiveAuthorizationState","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthReceiveControlState","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthSendAuthorizationState","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthSendControlState","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ProviderName","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","RadioEnable","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","RecommendedBeaconInterval","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Roaming Aggressiveness","RoamAggressiveness","3. Medium","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest PossibleRegistryValues: 0; 1; 2; 3; 4"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Preferred Band","RoamingPreferredBandType","1. No Preference","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band PossibleRegistryValues: 0; 1; 2; 3; 4"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SkipOverDtimEnable","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SKU_CAP","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SoftwareRadioOff","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SwRadioState","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","SystemAllowedAntennas","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","TGeEnableBits","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Throughput Booster","ThroughputBoosterEnabled","Disabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","U-APSD support","uAPSDSupport","Disabled","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","UcodeVersion","","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223"
