"AdapterName","Action","Success","State","SSID","RequestedSSID","RadioType","Signal","Authentication","Channel","Message","PSComputerName","RunspaceId","PSShowComputerName","TargetIP"
"Wi-Fi","Status","True","connected","WBE700v2-2G","","802.11be","99%","Open","10","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (8).","192.168.22.221","5781179f-b2c7-4655-9eb7-0d0d7b513789","True","192.168.22.221"
"Wi-Fi 6","Status","True","connected","WBE700v2-2G","","802.11be","95%","Open","10","Status retrieved.","192.168.22.222","0198a182-db59-49b6-94e5-bdc6cc9a1295","True","192.168.22.222"
"Wi-Fi","Status","True","connected","WBE700v2-2G","","802.11be","87%","Open","10","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz'; selected lowest ifIndex (5).","192.168.22.223","ee02defb-98b4-419a-bb88-10427db744cc","True","192.168.22.223"
"Wi-Fi 6","Status","True","connected","WBE700v2-2G","","802.11be","83%","Open","10","Status retrieved.","192.168.22.224","4cb857c1-f27b-400d-9b81-d02fa2798402","True","192.168.22.224"
"Wi-Fi 6","Status","True","connected","WBE700v2-2G","","802.11be","72%","Open","10","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (11).","192.168.22.225","66c5d146-d1b7-4e20-9b18-1805418e082b","True","192.168.22.225"
"Wi-Fi 6","Status","True","connected","WBE700v2-2G","","802.11be","53%","Open","10","Status retrieved.","192.168.22.226","cb59ddc6-df4c-4483-9a00-dea0e477cf86","True","192.168.22.226"
"Wi-Fi 6","Status","True","connected","WBE700v2-2G","","802.11be","57%","Open","10","Multiple adapters matched 'Intel(R) Wi-Fi 7 BE200 320MHz #6'; selected lowest ifIndex (7).","192.168.22.227","cc67c0fe-624a-490b-8e88-98d8227f9d55","True","192.168.22.227"
"Wi-Fi 6","Status","True","connected","WBE700v2-2G","","802.11be","50%","Open","10","Status retrieved.","192.168.22.228","8a25947d-a046-459b-9e95-36b7df80ba83","True","192.168.22.228"
