Scope,TargetIP,AdapterMatch,PropertyDisplayName,RegistryKeyword,CurrentValue,TargetValue,Apply,Notes
TARGET,192.168.22.221,Intel(R) Wi-Fi 7 BE200 320MHz,Preferred Band,RoamingPreferredBandType,4. Prefer 6GHz band,3. Prefer 5GHz band,TRUE,Generated by the local GUI. Uses the validated PowerShell toolkit for execution.
TARGET,192.168.22.221,Intel(R) Wi-Fi 7 BE200 320MHz,Roaming Aggressiveness,RoamAggressiveness,3. Medium,4. Medium-High,TRUE,Generated by the local GUI. Uses the validated PowerShell toolkit for execution.
